diffrence,color,mask,illumination,threshold,min_error
3951_019_df.jpg,3951_019_cl.jpg,3951_019_pr.jpg,2287813,175,0
3951_020_df.jpg,3951_020_cl.jpg,3951_020_pr.jpg,2136733,128,0
3951_021_df.jpg,3951_021_cl.jpg,3951_021_pr.jpg,2186663,101,0
3951_022_df.jpg,3951_022_cl.jpg,3951_022_pr.jpg,2268755,98,0
3951_023_df.jpg,3951_023_cl.jpg,3951_023_pr.jpg,2234088,145,0
3951_024_df.jpg,3951_024_cl.jpg,3951_024_pr.jpg,2277692,150,0
3951_025_df.jpg,3951_025_cl.jpg,3951_025_pr.jpg,2419865,88,0
3951_026_df.jpg,3951_026_cl.jpg,3951_026_pr.jpg,2290699,111,0
3951_027_df.jpg,3951_027_cl.jpg,3951_027_pr.jpg,2190413,102,51309
3951_028_df.jpg,3951_028_cl.jpg,3951_028_pr.jpg,2182288,107,126297
3951_029_df.jpg,3951_029_cl.jpg,3951_029_pr.jpg,2142426,143,97962
3951_030_df.jpg,3951_030_cl.jpg,3951_030_pr.jpg,2296372,109,166992
3951_031_df.jpg,3951_031_cl.jpg,3951_031_pr.jpg,2327888,100,180189
3951_032_df.jpg,3951_032_cl.jpg,3951_032_pr.jpg,1997153,89,0
3951_033_df.jpg,3951_033_cl.jpg,3951_033_pr.jpg,2408547,151,471096
3951_034_df.jpg,3951_034_cl.jpg,3951_034_pr.jpg,2209121,72,717198
3951_035_df.jpg,3951_035_cl.jpg,3951_035_pr.jpg,2061242,80,1546530
3951_036_df.jpg,3951_036_cl.jpg,3951_036_pr.jpg,2154229,77,1495974
3951_037_df.jpg,3951_037_cl.jpg,3951_037_pr.jpg,2246646,51,1138512
3951_038_df.jpg,3951_038_cl.jpg,3951_038_pr.jpg,2352165,67,1441176
3951_039_df.jpg,3951_039_cl.jpg,3951_039_pr.jpg,2373058,66,1505346
3951_040_df.jpg,3951_040_cl.jpg,3951_040_pr.jpg,2332314,58,1708107
3951_041_df.jpg,3951_041_cl.jpg,3951_041_pr.jpg,2330441,67,1467834
3951_042_df.jpg,3951_042_cl.jpg,3951_042_pr.jpg,2241508,89,1385616
3951_043_df.jpg,3951_043_cl.jpg,3951_043_pr.jpg,2128664,63,2022153
3951_044_df.jpg,3951_044_cl.jpg,3951_044_pr.jpg,2045571,71,1980819
3951_045_df.jpg,3951_045_cl.jpg,3951_045_pr.jpg,2094537,75,1275318
3951_046_df.jpg,3951_046_cl.jpg,3951_046_pr.jpg,2093400,83,1228743
3951_047_df.jpg,3951_047_cl.jpg,3951_047_pr.jpg,2153205,135,401181
3951_048_df.jpg,3951_048_cl.jpg,3951_048_pr.jpg,1908972,130,0
3951_049_df.jpg,3951_049_cl.jpg,3951_049_pr.jpg,2004816,115,203820
3951_050_df.jpg,3951_050_cl.jpg,3951_050_pr.jpg,1630497,145,206922
3951_051_df.jpg,3951_051_cl.jpg,3951_051_pr.jpg,1607901,133,213834
3951_052_df.jpg,3951_052_cl.jpg,3951_052_pr.jpg,1655675,108,167490
3951_053_df.jpg,3951_053_cl.jpg,3951_053_pr.jpg,1653039,142,6228
3951_054_df.jpg,3951_054_cl.jpg,3951_054_pr.jpg,1543452,111,0
3951_055_df.jpg,3951_055_cl.jpg,3951_055_pr.jpg,1477152,118,0
3951_056_df.jpg,3951_056_cl.jpg,3951_056_pr.jpg,1484175,131,0
3951_057_df.jpg,3951_057_cl.jpg,3951_057_pr.jpg,1491909,141,0
3951_058_df.jpg,3951_058_cl.jpg,3951_058_pr.jpg,1508708,156,0
3951_059_df.jpg,3951_059_cl.jpg,3951_059_pr.jpg,1461548,135,0
3951_060_df.jpg,3951_060_cl.jpg,3951_060_pr.jpg,1433526,126,0
3951_061_df.jpg,3951_061_cl.jpg,3951_061_pr.jpg,1382990,135,0
3951_062_df.jpg,3951_062_cl.jpg,3951_062_pr.jpg,1707114,97,0
3951_063_df.jpg,3951_063_cl.jpg,3951_063_pr.jpg,2152723,12,0
3957_000_df.jpg,3957_000_cl.jpg,3957_000_pr.jpg,2538215,40,0
3957_001_df.jpg,3957_001_cl.jpg,3957_001_pr.jpg,2501945,52,0
3957_002_df.jpg,3957_002_cl.jpg,3957_002_pr.jpg,2295177,57,0
3957_003_df.jpg,3957_003_cl.jpg,3957_003_pr.jpg,2101603,22,0
3957_004_df.jpg,3957_004_cl.jpg,3957_004_pr.jpg,2092001,43,0
3957_005_df.jpg,3957_005_cl.jpg,3957_005_pr.jpg,2229087,65,0
3957_006_df.jpg,3957_006_cl.jpg,3957_006_pr.jpg,2188351,66,0
